#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
O0*k3	Basic+	药理学::药物	塞来昔布	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性COX2抑制药</b></span></li><li>1. 不影响TXA2，抑制PGI2。</li><li>2. 肾损害。血栓形成倾向慎用。</li></ul>"	
MRP><jXG%n	问答题	药理学::药物	去氢胆酸	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>促胆汁分泌药（利胆药）</b></span></li></ul>"	
"B5Y9`t#uz1"	问答题	药理学::药物	熊去氧胆酸	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>溶胆石药（利胆药）</b></span><br></li></ul>"	
N}kI76v+c5	问答题	药理学::药物	缩宫素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>缩宫素=催产素=子宫平滑肌兴奋药</b></span></li><li>药理作用</li><ul><li>作用强度与剂量有关：小剂量使子宫产生节律性收缩，大剂量产生强直性收缩。</li><ul><li>小剂量(2-5U)：激起和加强子宫节律性收缩（似正常分娩）有利于胎儿娩出</li><li>大剂量(5-10U)：子宫收缩（强直性收缩）</li></ul><li>作用强度受性激素影响：</li><ul><li>雌激素：提高子宫对缩宫素的敏感性</li><li>孕激素：降低子宫对缩宫素的敏感性</li></ul><li>作用强度因子宫部位而异：对子宫体兴奋作用强，对子宫颈兴奋作用弱。</li><li>作用快而短。</li></ul><li>临床应用</li><ul><li>小剂量（静滴）用于引产和催产。</li><li>大剂量（皮下注射或肌注）用于产后止血&nbsp;</li></ul><li>不良反应：严格掌握剂量，<b>过量可致胎儿窒息和子宫破裂。</b></li><li>禁忌症：胎位不正、头盆不称、产道异常、前置胎盘和剖腹产史禁用&nbsp;<br></li></ul>"	
jRH^|]Ci8C	问答题	药理学::药物	麦角生物碱	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>麦角新碱=麦角胺=子宫平滑肌兴奋药</b></span></li><li>药理作用：</li><ul><li>兴奋子宫平滑肌</li><ul><li>作用强、久，<span style=""color: rgb(170, 0, 0);"">易致强直性收缩</span></li><li>对宫体和宫颈的兴奋作用无明显差别；</li><li>临产前或新产后最敏感</li></ul><li><span style=""color: red;"">收缩脑血管</span><br></li><ul><li>减少动脉搏动所致的头痛，故可单独或<span style=""color: rgb(170, 0, 0);"">与咖啡因合用</span>治疗<b>偏头痛</b><br></li></ul><li>阻断a肾上腺素受体，可使肾上腺素的升压作用翻转<br></li></ul><li>临床应用：只适用于<b>产后止血</b>和<b>子宫复原</b></li></ul>"	
N|!c)P+D!=	问答题	药理学::药物	甲状腺激素	"<ul><li>药理作用</li><ul><li><span style=""color: rgb(170, 0, 0);"">维持生长发育</span>：促进蛋白质的合成及<b>骨骼、中枢神经系统发育</b></li><ul><li>小儿甲低：呆小病（克汀病）</li><li>成人甲低：粘液性水肿</li></ul><li><span style=""color: rgb(170, 0, 0);"">促进代谢和产热</span></li><ul><li>促进物质氧化，耗O2 ↑ 、<b>基础代谢率</b>↑ 、 产热↑</li></ul><li>提高交感-肾上腺系统的敏感性</li></ul><li>临床应用</li><ul><li>呆小病：甲状腺功能减退于胎儿期或新生儿期</li><li>治疗粘液性水肿（成年人甲状腺素缺乏）</li><li>单纯性甲状腺肿：补碘、必要时用T3、T4&nbsp;</li></ul><li>体内过程</li><ul><li>吸收：口服易吸收，<b>生物利用度较高</b></li><li>分布：血浆蛋白结合率高（99%以上）</li><ul><li>T3：与蛋白质亲和力低,作用快、强、短</li><li>T4：与蛋白质亲和力高,作用慢、弱、长</li></ul><li>代谢排泄：在肝、肾线粒体内脱碘，并与葡萄糖醛酸或硫酸结合而<span style=""color: rgb(170, 0, 0);"">经肾排泄</span>。</li><li>注：可通过胎盘和进入乳汁</li></ul><li>不良反应</li><ul><li>过量引起<b>甲亢</b>表现</li><li>诱发心绞痛与心肌梗塞</li></ul></ul>"	
bt1i_W!z5.	问答题	药理学::药物	硫脲类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗甲状腺药</b></span></li><li>药理作用</li><ul><li>抑制T3、T4合成 （抑制过氧化物酶）&nbsp;</li><li>抑制T4→T3 (重症甲亢、甲状腺危象首选)</li><li><span style=""color: rgb(170, 0, 0);"">抑制免疫球蛋白</span>的生成</li></ul><li>作用特点：</li><ul><li>对已合成的甲状腺激素无效</li><li>慢，2~3周症状改善</li><li>1~3月BMR才正常</li><li>疗程1~2年</li></ul><li>临床应用：</li><ul><li><span style=""color: rgb(170, 0, 0);"">甲亢的内科治疗</span>：适用于轻症和不宜手术或放射性碘治疗者，有效率70％。</li><li>甲亢手术前准备：先服用硫脲类（手术前2周加大剂量碘剂）术前服药缩小甲状腺，减少基础代谢，减少手术出血。</li><li>甲状腺危象的治疗：<b>大剂量碘剂</b>+大剂量<b>丙硫氧嘧啶</b></li></ul><li>不良反应：</li><ul><li>过敏反应</li><li>消化道反应&nbsp; 厌食、呕吐、腹痛等<br></li><li><b>粒细胞缺乏症：为最严重的不良反应</b><br></li><li>甲状腺肿及甲状腺功能减退<br></li></ul></ul>"	
BO;.[l<-DC	问答题	药理学::药物	碘及碘化合物	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>大剂量碘剂=抗甲状腺药</b></span></li><li>药理作用：</li><ul><li>小量：合成T3、T4原料→促甲状腺素合成→<span style=""color: rgb(170, 0, 0);""><b>用于单纯性甲状腺肿</b></span></li><li>大量：</li><ul><li>抑制蛋白水解酶→T3、T4不能释放</li><li>抑制过氧化物酶→抑制甲状腺素合成甲状腺素</li><li>抑制垂体分泌TSH（促甲状腺素释放素）</li></ul></ul><li>特点：</li><ul><li>强而快：1~2天起效, 10~15天达峰效应</li><li>不持久：超过15天，降低甲状腺摄碘能力→逐渐失效</li></ul><li>临床应用：</li><ul><li><b>用于单纯性甲状腺肿</b><br></li><li><b>用于甲亢手术前准备和甲状腺危象（与硫脲类合用）</b></li></ul><li>不良反应：</li><ul><li>过敏：发热、皮疹、血管神经性水肿</li><li>诱发甲状腺功能紊乱：不长期用<br></li><li>慢性碘中毒：咽喉不适、口有金属味等<br></li></ul><li><b>注意：可通过胎盘、乳汁排出，孕妇及乳母慎用</b><br></li></ul>"	
e)EO-VS<c2	问答题	药理学::药物	放射性碘	<ul><li>抗甲状腺药</li><li>临床上用作甲状腺摄碘功能检查；可起到类似手术切除部分甲状腺的作用</li></ul>	
lp}E[O+!9$	问答题	药理学::药物	胰岛素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>降糖药</b></span></li><li>药理作用=降低血糖作用：</li><ul><li>脂肪代谢：促进脂肪合成，减少分解，减少游离脂肪酸与酮体生成</li><li>糖代谢：促进糖原的合成和贮存，加速氧化和酵解</li><li>蛋白质代谢：促进氨基酸的转运和蛋白质的合成，抑制蛋白质分解</li></ul><li>临床应用：</li><ul><li>I 型糖尿病(IDDM)的唯一治疗药物。餐前半小时皮下注射</li><li>II 型糖尿病(NIDDM)经饮食和口服降血糖药治疗未能控制者<br></li><li>发生急性或严重并发症的糖尿病患者<br></li><li>合并重度感染、消耗性疾病、高热、妊娠等糖尿病患者<br></li><li>纠正细胞内缺钾<br></li></ul><li>给药</li><ul><li>静脉注射<br></li><li>皮下注射（专用注射器、胰岛素笔、胰岛素泵）<br></li></ul><li>不良反应：</li><ul><li><b>低血糖：</b>多为用药过量，是最重要、最常见的不良反应，严重者立即iv 50%葡萄糖<br></li><li>过敏反应：如出现过敏应改用人胰岛素<br></li><li>皮下注射部位红肿、硬结及脂肪萎缩<br></li><li><b>胰岛素抵抗</b></li><ul><li>急性型：常因感染、创伤、手术、情绪激动等应激状态引起。需短时间内增加胰岛素剂量达数千单位。<br></li><li>慢性型：指每日需用胰岛素200U以上且无并发症者。此时换用其它动物胰岛素或高纯度胰岛素，并适当调整剂量常可有效</li></ul></ul></ul>"	
"PsV1Ku#t}Q"	问答题	药理学::药物	格列酮类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胰岛素增敏剂=口服降血糖药</b></span></li><li>药理作用：</li><ul><li><b>改善胰岛素抵抗</b>、降低高血糖</li><li>改善脂肪代谢紊乱</li><li>对2型糖尿病并发症有防治作用</li><li>改善胰岛B细胞功能&nbsp;</li></ul><li>临床应用：胰岛素抵抗、II型糖尿病</li><li>不良反应：该药具有良好的安全性和耐受性，低血糖发生率低。副作用主要是嗜睡、肌肉和骨骼痛等（曲格列酮有肝毒性）</li></ul>"	
BZ+J,Du19`	问答题	药理学::药物	磺酰脲类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>口服降血糖药</b></span></li><li>药理作用</li><ul><li>降血糖作用：对正常人和胰岛功能尚存的糖尿病人均有效，对胰岛功能完全丧失者无效</li><li>抗利尿作用：氯磺丙脲、格列本脲可促进ADH分泌。</li><li>影响凝血功能（抗凝血）：格列齐特有此作用</li></ul><li>临床应用</li><ul><li>胰岛功能尚存的 II 型糖尿病且单用饮食控制无效者</li><li>尿崩症（氯磺丙脲）</li></ul><li>不良反应</li><ul><li>皮肤过敏(常见)<br></li><li>胃肠反应<br></li><li>低血糖：老人、肝肾功能不良者易发生<br></li></ul></ul>"	
c)@QjnCy8)	问答题	药理学::药物	二甲双胍	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>双胍类口服降糖药</b></span></li><li>药理作用：对糖尿病病人有降血糖作用，但对正常人血糖无明显影响</li><li>临床应用：轻症患者，尤适用于肥胖且控制饮食无效者</li><li>不良反应：</li><ul><li>胃肠反应<br></li><li>乳酸血症（尤其在肝功能不良者）所以现已少用<br></li></ul></ul>"	
"eu#?7T6P7|"	问答题	药理学::药物	格列奈类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>格列奈类=餐食血糖调节剂=口服降血糖药</b></span></li><li>代表药物：<b>瑞格列奈、那格列奈</b></li><li>药理作用：促进胰岛素分泌</li><li>临床应用：适用于II型糖尿病</li></ul><div>临床常用口服降糖药：<span style=""color: rgb(170, 0, 0);""><span style=""font-weight: bold;"">胰岛素增敏剂、磺酰脲类、双胍类、</span>α<b>-葡萄糖苷酶抑制剂及餐时血糖调节剂</b></span></div>"	
n=4iA$&G&D	问答题	药理学::药物	<div>青霉素 G</div>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>窄谱青霉素类（繁殖期杀菌药）</b></span></li><li>抗菌原理：</li><ul><li>与青霉素结合蛋白<span style=""color: rgb(170, 0, 0);""><b>PBPs</b></span>结合，<b>抑制<span style=""color: rgb(170, 0, 0);"">转肽酶</span>活性</b>，阻止肽聚糖的合成，细胞壁缺损</li><li><b>增加<span style=""color: rgb(170, 0, 0);"">细胞壁自溶酶</span>活性</b><br></li></ul><li>抗菌作用：</li><ul><li>G+ 球菌：溶血性链球菌、肺炎球菌、敏感金葡菌、表皮葡萄球菌</li><li>G+ 杆菌：白喉杆菌、炭疽杆菌、破伤风杆菌、芽胞杆菌</li><li>G- 球菌：脑膜炎球菌、淋球菌</li><li>少数 G- 杆菌</li><li>螺旋体、放线杆菌</li><li>对大多数G- 杆菌作用较弱，对肠球菌不敏感，对真菌、原虫、立克次体、病毒无作用</li><li>金黄色葡萄球菌、淋病奈瑟菌、肺炎球菌、脑膜炎奈瑟菌已经对本药产生耐药性</li></ul><li>临床应用：</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>敏感G<span style=""font-size: 16.6667px;"">+</span>/G-球菌、 G<span style=""font-size: 16.6667px;"">+</span>杆菌、螺旋体感染首选药</b></span><br></li><li>溶血性链球菌：咽炎、猩红热、败血症等</li><li>肺炎球菌：大叶性肺炎、中耳炎</li><li>脑膜炎球菌：脑膜炎</li><li>草绿色链球菌：心内膜炎</li><li>螺旋体：梅毒、钩端螺旋体病、回归热</li><li>G+杆菌：破伤风、白喉、炭疽杆菌&nbsp;</li></ul><li>不良反应：</li><li><b>过敏反应：<span style=""color: red;"">最严重的是过敏性休克（呼吸困难、循环衰竭、中枢抑制）</span>防治措施：</b><br></li><ul><li>询问过敏史</li><li>避免滥用和局部用药</li><li>避免饥饿时注射</li><li>备好急救药物和急救设备</li><li>初次使用、用药间隔24小时以上或换批号者<b>必须做皮试</b></li><li>注射液需临用现配</li><li>用药后观察30min</li><li>用<b>肾上腺素</b>抢救，必要时加<b>糖皮质激素</b>、<b>氨茶碱</b>和<b>抗组胺药</b><br></li></ul></ul>"	
CH-/xi6K[+	问答题	药理学::药物	青霉素 V	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>窄谱青霉素类</b></span></li><li>药理作用：最大特点是耐酸，口服吸收好<br></li><li>临床应用：主要用于轻度敏感菌感染，恢复期的巩固治疗和感染复发的预防</li></ul>"	
O/4cxa+o>D	问答题	药理学::药物	甲氧西林	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>耐酶青霉素类</b></span></li><li>不耐酸，只能iv、im给药<br></li></ul>"	
dKBr8|FEE@	问答题	药理学::药物	苯唑西林	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>耐酶青霉素类</b></span></li><li>耐酸、耐酶</li><li>耐青霉素G的金黄色葡萄球菌感染</li></ul>"	
LC7nq4,_hZ	问答题	药理学::药物	氨苄西林	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>广谱青霉素类</b></span></li><li>耐酸、口服、对G+G-菌都有杀菌作用，不耐酶而对耐药金黄色葡萄球菌无效</li></ul>"	
q5GBH;<zE%	问答题	药理学::药物	羧苄西林	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗铜绿假单胞菌广谱抗生素类</b></span></li><li>不耐酸，仅注射给药，对G-杆菌作用强，尤其是对抗铜绿假单胞菌有特效</li></ul>"	
z]d?%iMU6.	问答题	药理学::药物	头孢菌素类抗生素	"<ul><li>第一代头孢菌素——头孢羟氨苄、头孢匹林</li><ul><li>对G+菌强于G-菌，对耐酶经黄色葡萄球菌有效</li><li>用于呼吸道、泌尿、皮肤、脑组织G<span style=""font-size: 16.6667px;"">+</span>菌感染<br></li><li><span style=""color: rgb(170, 0, 0);"">有肾毒性</span></li></ul><li>第二代头孢菌素——头孢克洛</li><ul><li>抗菌谱更广，对G-的作用增强</li><li>治疗大肠杆菌、变形菌属、肠科菌感染</li><li>流感杆菌等G-菌感染</li></ul><li>第三代头孢菌素——头孢他啶、头孢哌酮</li><ul><li>对G-更强大，对酶更稳定</li><li>用于敏感菌的全身感染、多重耐药感染、院内感染、确为细菌但未查明的严重感染</li></ul><li>第四代头孢菌素——头孢匹罗</li><ul><li>对G+G-菌均有高效，<b>对β-内酰胺酶高度稳定</b>，可用于对第三代头孢菌素耐药的严重感染</li><li>肾脏毒性减少</li></ul></ul>"	
vGW&lJG33/	问答题	药理学::药物	<b>头孢菌素vs青霉素</b>	<ul><li>对β-内酰胺酶的稳定性比青霉素高</li><li>抗菌谱比青霉素广</li><li>抗菌作用强</li><li>过敏反应少</li><li>毒性小</li></ul>	
goW4^~zqAa	问答题	药理学::药物	红霉素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>大环内酯类抗生素</b></span></li><li>体内过程：不耐酸，常用肠溶片或酯化衍生物</li><li>药理作用：抗菌谱似PG（青霉素）而较广，抗菌活性弱于PG</li><li>临床应用：</li><ul><li><span style=""color: red;"">耐</span><span style=""color: red;"">PG</span><span style=""color: red;"">的金葡菌感染和</span><span style=""color: red;"">PG</span><span style=""color: red;"">过敏患者</span><br></li><li><span style=""color: red;"">肺炎支原体、肺炎衣原体所致非典型呼吸道感染<br></span></li><li><span style=""color: red;"">厌氧菌口腔感染<br></span></li></ul><li>不良反应：不良反应多见，主要有<span style=""color:red"">胃肠道反应、肝损害、过敏反应、局部刺激</span>等</li></ul>"	
x>5dByt{Rd	问答题	药理学::药物	阿奇霉素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>大环内酯类抗生素</b></span></li><li>抗菌活性比红霉素强，抗菌谱广</li><li>临床应用：用于敏感菌所致的上呼吸道感染，可代替<span style=""color: red;"">红霉素</span>用于<b>军团菌病</b>、<b>支原体肺炎</b></li><li>体内过程：口服完全吸收，分布广，组织浓度高</li><li>半衰期长，不良反应轻</li></ul>"	
"P-QD$&ea#{"	问答题	药理学::药物	林可霉素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>林可霉素类抗生素</b></span></li><li>药理作用：</li><ul><li>与红霉素结构不同，但抗菌活性、抗菌谱相似</li><li>作用机制与红霉素相同：与50S亚基结合，抑制<b>细菌蛋白质合成</b></li><li>对G+球菌和厌氧菌有较强的抗菌作用</li></ul><li>临床应用：</li><ul><li>用于<span style=""color: red;"">G<sup>+</sup></span>球菌所致的感染（金葡菌引起的<span style=""color: red;"">骨髓炎</span>）</li><li><span style=""color:red"">严重厌氧菌</span>感染</li></ul><li>体内过程：分布广泛，在骨组织中浓度高</li><li>不良反应：</li><ul><li>胃肠道反应、<span style=""color: rgb(170, 0, 0);""><b>二重感染（假膜性肠炎）</b></span></li><li>过敏</li><li>肝毒性</li><li>骨髓抑制</li></ul></ul>"	
g3V3mvyU<!	问答题	药理学::药物	万古霉素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>多肽类抗生素</b></span></li><li>药理作用：对G+菌有强大的杀菌作用</li><li>临床应用：<span style=""color: red;"">仅用于严重G<sup>+</sup>菌感染</span>，特别是<b>耐甲氧西林金黄色葡萄球菌</b>（MRSA），<b>耐甲氧西林表皮葡萄球菌</b>（MRSE）所致的感染<br></li><li>不良反应：较大。耳毒性、肾毒性，过敏反应，<span style=""color: rgb(170, 0, 0);"">红人综合征（类风湿性关节炎反应）</span></li></ul>"	
kl~:_,o2VB	问答题	药理学::药物	多粘菌素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>多肽类抗生素</b></span></li><li>主要用于治疗铜绿假单胞菌引起的败血症、泌尿道和烧伤创面感染</li></ul>"	
m2U4Uz,Ztu	问答题	药理学::药物	大环内酯类抗生素	"<ol><li>代表药物：红霉素、阿奇霉素</li><li>抗菌谱似PG（青霉素）但较广，对G+菌、G-球菌、<span style=""color: rgb(170, 0, 0);"">厌氧菌、衣原体、支原体、军团菌</span>有效</li><li><div>抗菌机制：是与细菌核糖体<span style=""color: rgb(0, 176, 240);"">50S</span><span style=""color: rgb(0, 176, 240);"">亚基</span>结合而<span style=""color:#00B0F0"">抑</span><span style=""color: rgb(0, 176, 240);"">制细菌蛋白质的合成</span>：<span style=""color: red;"">快速抑菌药</span></div></li><li>耐药机制</li><ul><li><span style=""color: rgb(170, 0, 0);"">靶位改变</span>：50S亚基上腺嘌呤残基甲基化<br></li><li><span style=""color: rgb(170, 0, 0);"">产生灭活酶</span>：红霉素酯酶、大环内酯2‘-磷酸转移酶<br></li><li><span style=""color: rgb(170, 0, 0);"">主动外排机制增强</span>：细菌编码主动外排功能的蛋白质<br></li></ul><li>主要用于敏感菌所致<span style=""color:red"">呼吸道及软组织感染</span><br></li><li>毒性低，主要有<span style=""color: red;"">胃肠道反应</span><br></li></ol>"	
Gkk2.o_G;3	问答题	药理学::药物	氨基糖苷类抗生素	"<ol><li>抗菌作用：</li><ul><li>抗菌机制为<span style=""color: red;"">多环节抑制细菌蛋白质的合成</span>，<span style=""color: red;"">静止期杀菌药</span></li><li>杀菌作用呈浓度依赖性</li><li>具有明显的<b>抗菌后效应</b>（PAE）</li><li>具有初次接触效应（FEE）</li><li>在碱性环境下作用增强</li></ul><li>对<span style=""color: rgb(10, 90, 178);""><b>G-杆菌</b></span>作用强：</li><ul><li>对<span style=""color: rgb(255, 0, 0);"">铜绿假单胞菌</span>敏感：<span style=""color: rgb(10, 90, 178);"">庆大霉素、妥布霉素、阿米卡星、奈替米星</span></li><li>对<span style=""color:red"">结核杆菌</span>敏感<span style=""color:#00B050"">：</span><span style=""color:#0070C0"">链霉素、卡那霉素、阿米卡星</span><br></li></ul><li>细菌易产生耐药性——耐药机制为<span style=""color: rgb(170, 0, 0);"">产生钝化酶、</span>膜通透性的改变、抗生素靶位的修饰<br></li><li>口服不吸收：主要分布于<span style=""color: rgb(0, 176, 240);"">细胞外液</span>，肾皮质浓度高，可进入<span style=""color: rgb(0, 176, 240);"">内耳淋巴液</span>，不易透过血脑屏障，原型经肾排泄</li><li><span style=""color: red;"">临床应用于</span><span style=""color: red;"">G<sup>-</sup></span><span style=""color: red;"">杆菌的严重感染</span></li><li>不良反应：</li><ul><li><span style=""color: red;"">耳毒性</span>：前庭功能障碍和耳蜗听神经损害<br></li><li><span style=""color: red;"">肾毒性</span>：肾皮质浓度高<br></li><li><span style=""color: red;"">神经肌肉麻痹</span>：主要表现为呼吸抑制。新斯的明或钙剂治疗<br></li><li><span style=""color: red;"">过敏反应</span>：过敏性休克</li></ul><li>注意事项：老年人、儿童、孕妇、乳妇均慎用。<b>密切注意肾和听功能损害</b><br></li></ol>"	
K7TPTr?c;,	问答题	药理学::药物	链霉素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>氨基糖苷类抗生素</b></span></li><li>鼠疫和兔热病的首选药</li><li>感染性心内膜炎（合用PG）</li><li>结核病（与其他抗结核病药合用）<br></li><li>布鲁菌病（合用多西环素）<br></li></ul>"	
h)YmwNYbOb	问答题	药理学::药物	庆大霉素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>氨基糖苷类抗生素</b></span></li><li>G-杆菌的严重感染</li><li>铜绿假单胞菌感染（合用羧苄西林）</li><li>口服用于术前肠道准备或肠道感染<br></li><li>可与PG合用，但不宜与头孢菌素合用<br></li><li>耳毒性和肾毒性都很高<br></li></ul>"	
x?V$8WXr+O	问答题	药理学::药物	阿米卡星	"<ul><li><span style=""color: rgb(170, 0, 0);""><b><b><span style=""color: red;"">阿米卡星=丁胺卡那霉素=</span></b>氨基糖苷类抗生素</b></span><br></li><li>对G-抗菌谱最广，对多种钝化酶稳定 （对金葡有效）<br></li><li>与头孢菌素合用有协同作用<br></li><li><b>耳蜗神经损害发生率高</b><br></li></ul>"	
yM*T?gqnkf	问答题	药理学::药物	奈替米星	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>氨基糖苷类抗生素</b></span><br></li><li>抗菌谱广，临床应用广泛，耳毒性和肾毒性最小<br></li></ul>"	
b!C1JhiXX;	问答题	药理学::药物	四环素类	"<ul><li>抗菌谱<span style=""color: rgb(170, 0, 0);""><b>广</b></span>：</li><ul><li>对G+菌、G-菌（霍乱弧菌、布鲁氏菌）、厌氧菌、放线菌、立克次体、支原体、衣原体、阿米巴原虫有效</li><li>对<b>铜绿假单胞菌</b>和<b>变形杆菌</b>无效</li></ul><li>体内过程：<br></li><ul><li>吸收不完全，易受食物或药物等影响<br></li><li>分布广泛，易透入胎儿循环及乳汁中，易沉积于骨和牙组织中<br></li></ul><li>临床应用：</li><ul><li>抗立克次体、衣原体、支原体、螺旋体感染<br></li><li>细菌感染（鼠疫、<a href=""https://cn.bing.com/search?q=%e5%b8%83%e9%b2%81%e6%b0%8f%e6%9d%86%e8%8f%8c%e7%97%85&amp;filters=dtbk:&quot;MCFvdmVydmlldyFvdmVydmlldyEwNmUzYjlkNC1mZmY2LTdjMDAtMzUwOS0yNDNkOWY5YWNmYjA%3d&quot;+sid:&quot;06e3b9d4-fff6-7c00-3509-243d9f9acfb0&quot;+tphint:&quot;f&quot;&amp;FORM=DEPNAV"">布鲁氏杆菌病</a>首选<span style=""color: rgb(170, 0, 0);"">多西环素</span>）<br></li></ul><li>不良反应：</li><ul><li>胃肠道反应、二重感染</li><li>影响牙齿和骨骼的发育（<b>四环素牙</b>）</li><li>肝毒性、肾毒性</li><li>过敏反应</li></ul><li>应用注意事项：宜空腹服药，不宜与抗酸药等药同时服用，必须合用时，至少间隔3小时<br></li></ul>"	
d})2>0P>K}	问答题	药理学::药物	四环素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>快速抑菌药</b></span><br></li><li>抗菌活性：对G+菌、G-菌（霍乱弧菌、布鲁氏菌）、厌氧菌、放线菌、立克次体、支原体、衣原体、阿米巴原虫有效，对铜绿假单胞菌和变形杆菌无效</li><li>体内过程：口服吸收不完全，易受食物或金属离子（Fe<sup>2+</sup>、Ca<sup>2+</sup>、Mg<sup>2+</sup>）影响</li><li>不良反应：肝、肾功能不全患者禁用（肝毒性和肾毒性）、四环素牙</li></ul>"	
CM6Tsr-@08	问答题	药理学::药物	多西环素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>半合成抗生素（强力霉素）=四环素类抗生素</b></span></li><li>抗菌活性比四环素强（速效、强效、长效）</li><li>体内过程：吸收完全，不受食物影响，以无活性的代谢产物随粪便排出</li><li>不良反应：对肠道菌群无影响、<b>肾功能不全亦可用</b></li></ul>"	
gW,-6(=NN}	问答题	药理学::药物	米诺环素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>米诺环素=二甲胺四环素（半合成抗生素）（四环素类抗生素）</b></span></li><li><b>抗菌活性最强</b></li><li>体内过程：口服吸收完全，不受食物影响</li><li>不良反应：较小，肝肾功能损害时可使用</li></ul>"	
jcpBMw/ng8	问答题	药理学::药物	氯霉素	"<ul><li>抗菌谱：广谱抗生素</li><ul><li>对G+菌、G-菌（流感杆菌、脑膜炎球菌、淋球菌、厌氧菌）、放线菌、衣原体、支原体、立克次体有效</li><li>对铜绿假单胞菌、原虫、真菌、结核分枝杆菌无效&nbsp;</li></ul><li>体内过程：</li><ul><li>分布广泛，<span style=""color: red;"">脑脊液中浓度高</span>，易透入胎儿循环及乳汁中，对<span style=""color: red;"">眼组织</span>通透性好</li><li>90%在肝脏与葡萄糖醛酸结合</li><li>肝药酶抑制药</li></ul><li>临床应用：</li><ul><li>细菌性脑膜炎和脑脓肿</li><li><b>伤寒杆菌</b>及其他<b>沙门菌属感染</b><br></li><li><b>细菌性眼部感染</b><br></li><li>厌氧菌感染<br></li><li><b>立克次体</b>感染等<br></li></ul><li>不良反应：</li><ul><li><span style=""color: red;"">骨髓抑制、</span><span style=""color: red;"">灰婴综合征</span></li><li>溶血性贫血、中毒性精神病、<b>二重感染</b>等</li><li><span style=""color: rgb(170, 0, 0);""><b>肝药酶抑制剂</b></span><br></li></ul><li>注意事项：</li><ul><li>妊娠期、哺乳期、早产儿、新生儿慎用</li><li>肝肾功能不全、G-6-PD缺陷者慎用<br></li></ul></ul>"	
H5uBX.rB|r	问答题	药理学::药物	喹诺酮类抗菌药	"<ul><li><b>人工合成抗菌药。</b></li><li><b>代表药物：<span style=""color: rgb(170, 0, 0);"">氧氟沙星、洛美沙星</span></b></li><ul><li>氧氟沙星：生物利用度更高、抗菌作用更强（对结核杆菌有效）</li><li>洛美沙星：第四代喹诺酮类，口服吸收很好、体内抗菌作用器</li></ul><li><b>抗菌谱：广</b>。对G-菌、G+菌、衣原体、支原体、厌氧菌有效</li><li>抗菌机制：<span style=""color: rgb(170, 0, 0);"">抑制细菌DNA回旋酶、抑制细菌DNA拓扑异构酶IV</span></li><li>耐药机制：</li><ul><li>细菌DNA回旋酶基因突变</li><li>细菌DNA拓扑异构酶IV变异</li></ul><li>临床应用：用于敏感菌所致的呼吸道感染、泌尿生殖系统感染、肠道感染、骨骼系统感染、皮肤软组织感染、脑膜炎等</li><li>不良反应：胃肠道反应，<b>神经系统反应</b>，过敏反应。软骨组织损害</li><li>应用注意事项：</li><ul><li>妊娠妇女、乳妇和骨骼系统未发育完全的小儿不宜用</li><li>有神经系统疾患者，尤其是有癫痫病史的患者不宜用<br></li><li>肾功能减退患者，应用某些喹诺酮类药时需根据肾功能减退程度减量<br></li><li>注意药物相互作用</li></ul></ul>"	
